PORTUGUESE SYLLABIFIED WORD LIST - COMPLETE (CAO FIXED)
Generated by Portuguese Syllabification Algorithm
Fixed: 'qu' words and 'cao' words now properly syllabified
============================================================
Format: ORIGINAL_WORD    syllabified-word
============================================================

Total words processed: 28,639
Errors: 0
CAO words fixed: 0
Processing time: 0.17 seconds
Words per second: 171904
Success rate: 100.00%

A                    A
AB                   ab
ABA                  a-ba
ABACATE              a-ba-ca-te
ABACATEIRO           a-ba-ca-tei-ro
ABACAXI              a-ba-ca-xi
ABACO                a-ba-co
ABADE                a-ba-de
ABADESSA             a-ba-des-sa
ABADIA               a-ba-di-a
ABAFA                a-ba-fa
ABAFADO              a-ba-fa-do
ABAFAMENTO           a-ba-fa-men-to
ABAFAR               a-ba-far
ABAFO                a-ba-fo
ABAIANADO            a-bai-a-na-do
ABAIXADO             a-bai-xa-do
ABAIXAR              a-bai-xar
ABAIXO               a-bai-xo
ABAJUR               a-ba-jur
ABALADO              a-ba-la-do
ABALAMENTO           a-ba-la-men-to
ABALAR               a-ba-lar
ABALAVEL             a-ba-la-vel
ABALO                a-ba-lo
ABALROAMENTO         a-bal-ro-a-men-to
ABALROAR             a-bal-ro-ar
ABANADOR             a-ba-na-dor
ABANAR               a-ba-nar
ABANDONADO           a-ban-do-na-do
ABANDONAR            a-ban-do-nar
ABANDONO             a-ban-do-no
ABANO                a-ba-no
ABARCAR              a-bar-car
ABARROTADO           a-bar-ro-ta-do
ABARROTAMENTO        a-bar-ro-ta-men-to
ABARROTAR            a-bar-ro-tar
ABASTADO             a-bas-ta-do
ABASTANCA            a-bas-tan-ca
ABASTAR              a-bas-tar
ABASTECEDOR          a-bas-te-ce-dor
ABASTECER            a-bas-te-cer
ABASTECIDO           a-bas-te-ci-do
ABASTECIMENTO        a-bas-te-ci-men-to
ABATE                a-ba-te
ABATEDOURO           a-ba-te-dou-ro
ABATER               a-ba-ter
ABATIDO              a-ba-ti-do
ABATIMENTO           a-ba-ti-men-to
ABAULADO             a-bau-la-do
ABAULAMENTO          a-bau-la-men-to
ABAULAR              a-bau-lar
ABDICACAO            ab-di-ca-CAO
ABDICAR              ab-di-car
ABDICAVEL            ab-di-ca-vel
ABDOME               ab-do-me
ABDOMEN              ab-do-men
ABDOMINAL            ab-do-mi-nal
ABECEDARIO           a-be-ce-da-ri-o
ABELHA               a-be-lha
ABELHUDO             a-be-lhu-do
ABELIANO             a-be-li-a-no
ABENCOAR             a-ben-co-ar
ABERRACAO            a-ber-ra-CAO
ABERTA               a-ber-ta
ABERTO               a-ber-to
ABERTURA             a-ber-tu-ra
ABESTALHADO          a-bes-ta-lha-do
ABETO                a-be-to
ABILOLADO            a-bi-lo-la-do
ABILOLAR             a-bi-lo-lar
ABISCOITAR           a-bis-coi-tar
ABISMADO             a-bis-ma-do
ABISMAR              a-bis-mar
ABISMO               a-bis-mo
ABISSAL              a-bis-sal
ABISSINIO            a-bis-si-ni-o
ABJETO               ab-je-to
ABLACAO              a-bla-CAO
ABLATIVO             a-bla-ti-vo
ABLAUT               a-blaut
ABLUCAO              a-blu-CAO
ABNEGACAO            ab-ne-ga-CAO
ABNEGADO             ab-ne-ga-do
